"seller_id","seller_city","seller_state","order_count","gmv","avg_seller_ship_days","avg_total_delivery_days","shipping_delay_rate","delivery_delay_rate","avg_review_score"
"54965bbe3e4f07ae045b90b0b8541f52","foz do iguacu","PR","71","10169.9","15.57","26.65","0.557","0.3291","3.01"
"6039e27294dc75811c0d8a39069f52c0","osasco","SP","63","13500.8","5.86","17.47","0.3514","0.2568","3.86"
"a49928bcdf77c55c6d6e05e09a9b4ca5","sao paulo","SP","96","8646.9","6.28","16.52","0.5577","0.25","2.97"
"06a2c3af7b3aee5d69171b0e14f0ee87","sao luis","MA","381","35346.06","4.16","17.47","0.3223","0.2411","4.01"
"beadbee30901a7f61d031b6b686095ad","guarulhos","SP","64","4373.98","6.24","13.06","0.2647","0.2353","3.94"
"cac4c8e7b1ca6252d8f20b2fc1a2e4af","indaiatuba","SP","74","4128.19","4.96","19.43","0.2927","0.2317","3.56"
"ea566164622c6b439516ab18062c42cd","sao  paulo","SP","50","10309.42","3.02","13.81","0.0769","0.2308","3.75"
"bbad7e518d7af88a0897397ffdca1979","sao paulo","SP","68","4426.32","5.29","14.79","0.4643","0.2262","3.05"
"2a261b5b644fa05f4f2700eb93544f2c","porto ferreira","SP","51","5355","1.6","14.04","0.0488","0.2195","3.35"
"712e6ed8aa4aa1fa65dab41fed5737e4","videira","SC","77","39385","6.49","23.39","0.1765","0.2118","3.46"
"d13e50eaa47b4cbe9eb81465865d8cfc","santo andre","SP","66","7073.05","0.76","4.57","0.1324","0.2059","4.81"
"cd68562d3f44870c08922d380acae552","ribeirao preto","SP","122","18119.7","2.96","16.29","0.1473","0.2016","3.91"
"88460e8ebdecbfecb5f9601833981930","maringa","PR","244","31218.6","7.43","17.89","0.5067","0.198","3.36"
"1ca7077d890b907f89be8c954a02686a","santana de parnaiba","SP","108","12474.64","4.63","14.51","0.4961","0.1969","2.27"
"0d85bbda9889ce1f7e63778d24f346eb","uberlandia","MG","51","4845.2","2.19","17.79","0.0172","0.1897","4.21"
"e5a3438891c0bfdb9394643f95273d8e","limeira","SP","216","7549.96","2.86","14.91","0.17","0.1822","3.89"
"8160255418d5aaa7dbdc9f4c64ebda44","ibitinga","SP","379","46288.49","3.45","16.39","0.279","0.1797","3.85"
"11bfa66332777660bd0640ee84d47006","ribeirao preto","SP","76","3925.87","1.55","15.73","0.0392","0.1765","3.78"
"b17b679f4f5ce2e03ce6968c62648246","ribeirao preto","SP","50","3424.18","3.47","18.61","0.1765","0.1765","3.92"
"d20b021d3efdf267a402c402a48ea64b","ibitinga","SP","86","3922.3","3.47","16.12","0.2157","0.1765","3.69"
"2c9e548be18521d1c43cde1c582c6de8","mogi das cruzes","SP","124","6013.56","1.14","13.31","0.0351","0.1696","3.95"
"002100f778ceb8431b7a1020ff7ab48f","franca","SP","50","1216.6","3.02","15.78","0.0926","0.1667","4.04"
"6973a06f484aacf400ece213dbf3d946","sao jose dos campos","SP","89","10418.72","5.32","14.59","0.2593","0.1667","3.67"
"891071be6ba827b591264c90c2ae8a63","sao paulo","SP","85","3763.35","2.74","12.7","0.1667","0.1667","3.86"
"f7ba60f8c3f99e7ee4042fdef03b70c4","sao bernardo do campo","SP","217","67740","1.6","12.69","0.0088","0.1667","4.22"
